,StartTime,StopTime,Duration,ActivityLabel,ActivityType
428,0.0,360.051,360.051,,Others
0,360.029,369.411,9.382,FaceForward,AuralOral Communication
321,362.204,427.422,65.218,ListenV,AuralOral Communication
429,362.987,369.227,6.24,Fidget,Others
430,369.227,376.506,7.279,Note,Others
1,369.432,375.924,6.492,FaceDown,Head Movement
2,375.924,406.742,30.818,FaceForward,Head Movement
3,406.812,408.529,1.717,FaceDown,Head Movement
4,408.529,411.705,3.176,FaceForward,Head Movement
5,411.705,419.904,8.199,FaceDown,Head Movement
431,412.708,429.364,16.656,Note,Others
6,419.917,420.729,0.812,FaceForward,Head Movement
7,420.735,434.794,14.059,FaceDown,Head Movement
432,429.364,431.898,2.534,,Others
433,431.903,434.928,3.025,Note,Others
8,434.794,435.788,0.994,FaceForward,Head Movement
434,435.409,464.661,29.252,Note,Others
9,435.788,492.564,56.776,FaceDown,Head Movement
435,466.799,474.813,8.014,Note,Others
436,477.184,491.301,14.117,Note,Others
10,492.581,496.36,3.779,FaceForward,Head Movement
437,494.288,500.321,6.033,Fidget,Others
11,496.36,499.791,3.431,FaceDown,Head Movement
12,499.794,500.268,0.474,TurnL,Head Movement
13,500.278,500.747,0.469,TurnR,Head Movement
438,500.321,511.995,11.674,,Others
14,500.747,501.341,0.594,FaceForward,Head Movement
15,501.341,507.926,6.585,TurnL,Head Movement
16,507.991,511.261,3.27,FaceDown,Head Movement
17,511.262,513.794,2.532,TurnL,Head Movement
322,511.987,517.489,5.502,ListenL,AuralOral Communication
18,513.794,514.315,0.521,FaceDown,Head Movement
19,514.315,519.384,5.069,TurnL,Head Movement
323,517.489,521.125,3.636,TalkL,AuralOral Communication
20,519.387,520.305,0.918,FaceDown,Head Movement
21,520.307,522.352,2.045,TurnL,Head Movement
324,521.125,521.87,0.745,ListenL,AuralOral Communication
325,521.87,527.656,5.786,TalkL,AuralOral Communication
22,522.352,522.547,0.195,FaceForward,Head Movement
23,522.547,527.621,5.074,TurnL,Head Movement
24,527.628,529.163,1.535,TurnR,Head Movement
326,527.656,534.606,6.95,TalkR,AuralOral Communication
25,529.168,532.814,3.646,FaceForward,Head Movement
26,532.814,534.344,1.53,Nod,Head Movement
27,534.344,535.773,1.429,TurnL,Head Movement
327,534.611,551.397,16.786,ListenL,AuralOral Communication
28,535.773,536.668,0.895,Nod,Head Movement
29,536.681,551.5,14.819,TurnL,Head Movement
328,551.397,553.355,1.958,ListenR,AuralOral Communication
30,551.506,552.084,0.578,TurnR,Head Movement
31,552.105,554.215,2.11,FaceForward,Head Movement
329,553.355,554.816,1.461,TalkR,AuralOral Communication
32,554.23,554.723,0.493,FaceDown,Head Movement
33,554.723,559.4,4.677,TurnL,Head Movement
330,554.816,559.405,4.589,ListenL,AuralOral Communication
331,559.405,562.51,3.105,ListenR,AuralOral Communication
34,559.407,561.736,2.329,TurnR,Head Movement
35,561.736,562.394,0.658,FaceForward,Head Movement
36,562.394,562.912,0.518,FaceDown,Head Movement
332,562.51,565.907,3.397,TalkR,AuralOral Communication
37,562.922,564.728,1.806,TurnR,Head Movement
38,564.747,565.285,0.538,TurnL,Head Movement
39,565.285,566.899,1.614,Nod,Head Movement
333,565.955,572.007,6.052,ListenL,AuralOral Communication
40,566.9,567.805,0.905,TurnL,Head Movement
41,567.805,568.405,0.6,FaceDown,Head Movement
42,568.4110000000001,571.157,2.746,TurnL,Head Movement
43,571.175,572.014,0.839,FaceForward,Head Movement
334,572.007,575.396,3.389,TalkL,AuralOral Communication
44,572.014,576.131,4.117,TurnL,Head Movement
335,575.396,579.769,4.373,TalkU,AuralOral Communication
45,576.145,576.774,0.629,TurnR,Head Movement
46,576.774,581.263,4.489,TurnL,Head Movement
336,579.769,580.9159999999999,1.147,ListenL,AuralOral Communication
337,580.9159999999999,586.645,5.729,TalkU,AuralOral Communication
47,581.27,581.596,0.326,TurnR,Head Movement
48,581.596,582.746,1.15,Nod,Head Movement
49,582.747,583.422,0.675,FaceForward,Head Movement
50,583.504,584.314,0.81,TurnL,Head Movement
51,584.314,584.741,0.427,FaceForward,Head Movement
52,584.769,586.0,1.231,TurnR,Head Movement
53,586.004,590.594,4.59,TurnL,Head Movement
338,586.645,590.677,4.032,ListenL,AuralOral Communication
54,590.6,591.391,0.791,Shake,Head Movement
339,590.686,597.707,7.021,TalkL,AuralOral Communication
55,591.391,593.275,1.884,Nod,Head Movement
56,593.275,595.806,2.531,FaceForward,Head Movement
57,595.806,601.726,5.92,TurnL,Head Movement
340,597.723,604.2,6.477,ListenL,AuralOral Communication
58,601.75,602.663,0.913,Nod,Head Movement
59,602.663,603.336,0.673,FaceForward,Head Movement
60,603.337,603.576,0.239,FaceDown,Head Movement
61,603.576,604.717,1.141,Nod,Head Movement
341,604.2,605.014,0.814,ListenR,AuralOral Communication
62,604.726,605.484,0.758,TurnR,Head Movement
342,605.023,606.307,1.284,TalkR,AuralOral Communication
63,605.484,606.145,0.661,Nod,Head Movement
64,606.151,607.85,1.6989999999999998,FaceForward,Head Movement
343,606.307,608.49,2.183,ListenR,AuralOral Communication
65,607.853,608.761,0.908,Nod,Head Movement
344,608.49,609.317,0.827,ListenL,AuralOral Communication
66,608.954,609.364,0.41,TurnL,Head Movement
345,609.317,612.514,3.197,ListenL,AuralOral Communication
67,609.379,613.209,3.83,FaceForward,Head Movement
346,612.514,617.055,4.541,TalkR,AuralOral Communication
68,613.209,615.8,2.591,TurnR,Head Movement
69,615.808,616.748,0.94,Nod,Head Movement
70,616.77,618.221,1.451,TurnR,Head Movement
347,617.055,618.404,1.349,ListenR,AuralOral Communication
71,618.221,619.231,1.01,TurnL,Head Movement
348,618.404,619.848,1.444,ListenL,AuralOral Communication
72,619.236,621.859,2.623,Nod,Head Movement
349,619.848,623.356,3.508,TalkU,AuralOral Communication
73,621.864,622.905,1.041,TurnL,Head Movement
74,622.908,624.172,1.264,FaceForward,Head Movement
350,623.979,624.815,0.836,TalkU,AuralOral Communication
75,624.172,624.493,0.321,Nod,Head Movement
76,624.493,626.473,1.98,TurnL,Head Movement
351,624.815,625.995,1.18,ListenL,AuralOral Communication
352,625.995,629.004,3.009,TalkR,AuralOral Communication
77,626.498,627.5889999999999,1.091,TurnR,Head Movement
78,627.602,629.056,1.454,Nod,Head Movement
353,629.043,630.056,1.013,ListenR,AuralOral Communication
79,629.078,632.863,3.785,TurnR,Head Movement
354,630.056,631.95,1.894,TalkR,AuralOral Communication
355,631.95,633.317,1.367,ListenR,AuralOral Communication
80,633.042,634.844,1.802,Nod,Head Movement
356,633.317,639.841,6.524,TalkR,AuralOral Communication
81,634.844,635.304,0.46,FaceForward,Head Movement
82,635.304,636.468,1.164,TurnR,Head Movement
83,636.483,641.702,5.219,FaceForward,Head Movement
357,639.841,642.295,2.454,ListenR,AuralOral Communication
84,641.715,645.848,4.133,Nod,Head Movement
358,642.295,643.4590000000001,1.164,TalkR,AuralOral Communication
359,643.4590000000001,645.449,1.99,ListenR,AuralOral Communication
85,645.858,647.129,1.271,FaceForward,Head Movement
360,646.2090000000001,648.827,2.618,TalkR,AuralOral Communication
86,647.129,648.384,1.255,TurnR,Head Movement
87,648.413,648.904,0.491,FaceForward,Head Movement
88,648.904,649.578,0.674,TurnL,Head Movement
89,649.665,650.509,0.844,FaceForward,Head Movement
90,650.509,651.847,1.338,TurnL,Head Movement
361,650.526,653.262,2.736,ListenL,AuralOral Communication
91,651.856,654.3,2.444,FaceForward,Head Movement
362,653.262,661.56,8.298,TalkU,AuralOral Communication
92,654.3,656.915,2.615,TurnR,Head Movement
93,656.919,657.44,0.521,TurnL,Head Movement
94,657.44,659.668,2.228,TurnR,Head Movement
95,659.702,661.001,1.299,FaceForward,Head Movement
96,661.001,665.668,4.667,TurnL,Head Movement
363,661.56,665.802,4.242,ListenL,AuralOral Communication
97,665.668,666.715,1.047,TurnR,Head Movement
364,665.802,672.999,7.197,ListenR,AuralOral Communication
98,666.729,667.033,0.304,FaceDown,Head Movement
99,667.044,669.391,2.347,TurnR,Head Movement
100,669.397,671.75,2.353,FaceForward,Head Movement
101,671.75,672.178,0.428,TurnL,Head Movement
102,672.194,672.998,0.804,FaceForward,Head Movement
365,672.999,677.58,4.581,ListenL,AuralOral Communication
103,673.01,677.5,4.49,TurnL,Head Movement
104,677.509,678.708,1.199,Nod,Head Movement
366,678.513,684.717,6.204,ListenR,AuralOral Communication
105,678.723,682.975,4.252,TurnR,Head Movement
106,683.018,684.538,1.52,FaceForward,Head Movement
107,684.54,686.506,1.966,Shake,Head Movement
367,684.717,686.493,1.776,TalkR,AuralOral Communication
368,686.493,688.506,2.013,ListenR,AuralOral Communication
108,686.548,687.505,0.957,TurnR,Head Movement
109,687.511,702.969,15.458,FaceForward,Head Movement
369,688.506,714.514,26.008,TalkU,AuralOral Communication
110,702.969,703.237,0.268,TurnL,Head Movement
111,703.252,707.889,4.6370000000000005,TurnR,Head Movement
112,707.92,708.458,0.538,TurnL,Head Movement
113,708.47,709.117,0.647,FaceForward,Head Movement
114,709.117,710.263,1.146,TurnR,Head Movement
115,710.263,711.211,0.948,FaceForward,Head Movement
116,711.22,712.71,1.49,TurnR,Head Movement
117,712.727,715.087,2.36,Nod,Head Movement
118,715.095,716.678,1.583,TurnL,Head Movement
370,716.486,717.766,1.28,TalkU,AuralOral Communication
119,716.693,718.552,1.859,TurnR,Head Movement
120,718.552,719.552,1.0,TurnL,Head Movement
371,719.205,721.949,2.744,ListenL,AuralOral Communication
121,719.565,721.28,1.715,Nod,Head Movement
122,721.71,723.37,1.66,Nod,Head Movement
372,721.949,734.036,12.087,TalkR,AuralOral Communication
123,723.404,724.383,0.979,Shake,Head Movement
124,724.431,725.011,0.58,TurnR,Head Movement
125,725.011,728.514,3.503,Nod,Head Movement
126,728.526,730.783,2.257,Nod,Head Movement
127,730.783,733.41,2.627,Shake,Head Movement
128,733.41,734.352,0.942,TurnL,Head Movement
129,734.364,735.264,0.9,Shake,Head Movement
130,735.266,735.936,0.67,FaceForward,Head Movement
373,735.652,759.539,23.887,ListenL,AuralOral Communication
131,735.939,738.973,3.034,TurnL,Head Movement
132,738.987,740.859,1.872,Nod,Head Movement
133,741.361,742.685,1.324,Nod,Head Movement
134,748.944,751.357,2.413,Nod,Head Movement
135,752.86,754.913,2.053,TurnL,Head Movement
136,759.174,761.189,2.015,TurnR,Head Movement
374,759.547,761.384,1.837,ListenR,AuralOral Communication
137,761.189,762.119,0.93,TurnL,Head Movement
375,761.384,762.413,1.029,ListenL,AuralOral Communication
138,762.119,766.5,4.381,TurnR,Head Movement
376,762.413,765.71,3.297,ListenR,AuralOral Communication
377,765.71,768.518,2.808,TalkR,AuralOral Communication
139,766.505,767.676,1.171,FaceForward,Head Movement
140,767.676,769.942,2.266,TurnR,Head Movement
378,768.518,770.226,1.708,ListenR,AuralOral Communication
141,769.996,771.026,1.03,Nod,Head Movement
379,770.226,774.915,4.689,TalkU,AuralOral Communication
142,771.076,772.855,1.779,FaceForward,Head Movement
143,772.868,775.087,2.219,Nod,Head Movement
144,775.098,777.808,2.71,FaceDown,Head Movement
380,775.606,783.581,7.975,TalkU,AuralOral Communication
145,777.808,778.926,1.118,TurnR,Head Movement
146,778.929,780.157,1.228,FaceDown,Head Movement
147,780.157,782.494,2.337,TurnR,Head Movement
148,782.497,790.147,7.65,TurnL,Head Movement
381,785.403,790.354,4.951,ListenL,AuralOral Communication
149,790.164,790.817,0.653,TurnR,Head Movement
382,790.354,791.239,0.885,ListenR,AuralOral Communication
150,790.821,792.921,2.1,FaceForward,Head Movement
383,791.239,811.505,20.266,TalkR,AuralOral Communication
151,792.921,793.319,0.398,TurnR,Head Movement
152,794.387,796.709,2.322,FaceDown,Head Movement
153,796.709,797.406,0.697,FaceForward,Head Movement
154,797.406,797.966,0.56,TurnR,Head Movement
155,798.003,798.761,0.758,Shake,Head Movement
156,798.761,804.523,5.7620000000000005,FaceForward,Head Movement
157,804.523,805.643,1.12,Shake,Head Movement
158,807.825,818.344,10.519,FaceForward,Head Movement
384,811.505,818.717,7.212,ListenR,AuralOral Communication
159,818.351,820.193,1.842,Nod,Head Movement
385,818.717,823.895,5.178,TalkR,AuralOral Communication
160,820.219,822.008,1.789,FaceForward,Head Movement
161,822.019,823.336,1.317,Nod,Head Movement
162,823.34,823.9,0.56,TurnL,Head Movement
439,823.892,915.632,91.74,,Others
163,915.632,1065.641,150.009,FaceForward,Head Movement
440,927.912,932.133,4.221,FaceForward,Others
386,929.505,1060.797,131.292,ListenV,AuralOral Communication
164,1065.641,1066.207,0.566,TurnR,Head Movement
165,1066.207,1066.837,0.63,TurnL,Head Movement
441,1066.376,1071.184,4.808,,Others
166,1071.175,1110.251,39.076,FaceDown,Head Movement
442,1072.708,1109.999,37.291,Note,Others
443,1109.999,1111.439,1.44,Fidget,Others
167,1110.251,1116.14,5.889,FaceForward,Head Movement
168,1116.14,1116.763,0.623,TurnL,Head Movement
169,1116.763,1118.054,1.291,FaceForward,Head Movement
387,1117.784,1122.56,4.776,ListenL,AuralOral Communication
170,1118.054,1122.673,4.619,TurnL,Head Movement
171,1122.714,1124.194,1.48,Shake,Head Movement
388,1123.355,1124.435,1.08,TalkU,AuralOral Communication
172,1124.194,1125.289,1.095,TurnL,Head Movement
389,1124.435,1124.831,0.396,ListenL,AuralOral Communication
390,1124.831,1130.691,5.86,TalkL,AuralOral Communication
173,1125.313,1126.523,1.21,Shake,Head Movement
174,1128.2,1129.307,1.107,FaceForward,Head Movement
175,1129.319,1130.166,0.847,Shake,Head Movement
391,1130.698,1136.648,5.95,ListenR,AuralOral Communication
176,1131.349,1132.436,1.087,TurnR,Head Movement
177,1132.446,1133.506,1.06,FaceForward,Head Movement
178,1133.506,1133.811,0.305,FaceDown,Head Movement
179,1133.811,1135.284,1.473,TurnR,Head Movement
444,1134.001,1136.028,2.027,Fidget,Others
180,1135.297,1135.975,0.678,TurnL,Head Movement
181,1135.975,1136.735,0.76,FaceDown,Head Movement
392,1136.648,1146.999,10.351,TalkL,AuralOral Communication
182,1136.735,1138.123,1.388,FaceForward,Head Movement
183,1138.148,1139.436,1.288,TurnL,Head Movement
184,1139.46,1140.355,0.895,FaceForward,Head Movement
185,1140.433,1142.815,2.382,TurnL,Head Movement
186,1142.815,1144.3,1.485,FaceForward,Head Movement
187,1144.31,1147.257,2.947,TurnL,Head Movement
393,1146.999,1155.778,8.779,ListenL,AuralOral Communication
188,1147.303,1147.532,0.229,FaceForward,Head Movement
189,1147.532,1157.326,9.794,TurnL,Head Movement
394,1155.778,1164.995,9.217,TalkL,AuralOral Communication
190,1157.367,1158.367,1.0,FaceDown,Head Movement
191,1158.367,1162.589,4.222,TurnL,Head Movement
192,1162.619,1163.2,0.581,FaceForward,Head Movement
193,1163.2,1164.978,1.778,TurnL,Head Movement
445,1164.612,1171.046,6.434,Fidget,Others
395,1164.995,1167.01,2.015,ListenU,AuralOral Communication
194,1165.011,1166.966,1.955,FaceDown,Head Movement
195,1166.966,1167.456,0.49,TurnR,Head Movement
396,1167.01,1170.747,3.737,ListenR,AuralOral Communication
196,1167.467,1170.81,3.343,FaceForward,Head Movement
397,1170.747,1182.012,11.265,ListenL,AuralOral Communication
197,1170.825,1176.978,6.153,TurnL,Head Movement
198,1176.987,1177.984,0.997,Nod ,Head Movement 
199,1177.985,1181.996,4.011,FaceForward,Head Movement
200,1181.996,1183.349,1.353,Nod,Head Movement
446,1182.023,1184.211,2.188,,Others
201,1183.349,1183.947,0.598,TurnL,Head Movement
202,1184.089,1184.728,0.639,FaceForward,Head Movement
398,1184.218,1184.953,0.735,ListenR ,AuralOral Communication 
203,1184.736,1185.552,0.816,TurnL,Head Movement
399,1184.953,1206.355,21.402,ListenL,AuralOral Communication
204,1185.552,1186.301,0.749,FaceForward,Head Movement
205,1186.309,1188.642,2.333,TurnL,Head Movement
206,1188.668,1190.263,1.595,FaceForward,Head Movement
207,1190.271,1192.184,1.913,TurnL,Head Movement
447,1192.149,1193.97,1.821,Fidget,Others
208,1192.184,1192.987,0.803,FaceDown,Head Movement
209,1192.987,1195.284,2.297,TurnL,Head Movement
448,1195.405,1198.42,3.015,Fidget,Others
210,1195.41,1197.924,2.514,FaceDown,Head Movement
211,1197.924,1198.889,0.965,TurnL,Head Movement
212,1198.907,1200.715,1.808,Nod,Head Movement
213,1204.999,1208.368,3.369,FaceForward,Head Movement
400,1206.367,1222.037,15.67,TalkU,AuralOral Communication
214,1208.368,1209.678,1.31,TurnL,Head Movement
215,1209.681,1211.142,1.461,FaceDown,Head Movement
216,1211.142,1212.357,1.215,TurnL,Head Movement
217,1212.357,1214.002,1.645,Shake,Head Movement
218,1214.002,1214.823,0.821,TurnR,Head Movement
219,1214.832,1216.189,1.357,TurnL,Head Movement
220,1216.239,1217.757,1.518,FaceForward,Head Movement
221,1217.757,1218.338,0.581,TurnL,Head Movement
222,1218.367,1219.342,0.975,Shake,Head Movement
223,1219.342,1219.627,0.285,FaceForward,Head Movement
224,1219.627,1221.305,1.678,TurnL,Head Movement
225,1221.401,1222.188,0.787,FaceForward,Head Movement
401,1222.054,1244.615,22.561,ListenL,AuralOral Communication
226,1222.2,1229.105,6.905,TurnL,Head Movement
227,1229.105,1230.184,1.079,Nod,Head Movement
228,1230.192,1231.419,1.227,FaceDown,Head Movement
229,1231.429,1233.863,2.434,FaceForward,Head Movement
230,1233.863,1236.152,2.289,TurnL,Head Movement
231,1236.168,1238.805,2.637,FaceForward,Head Movement
232,1238.821,1243.673,4.852,TurnL,Head Movement
233,1243.673,1244.721,1.048,FaceForward,Head Movement
402,1244.615,1283.224,38.609,TalkU,AuralOral Communication
234,1244.723,1245.852,1.129,FaceForward,Head Movement
235,1245.852,1246.393,0.541,TurnL,Head Movement
236,1246.413,1246.707,0.294,TurnR,Head Movement
237,1246.707,1247.648,0.941,FaceForward,Head Movement
238,1247.648,1248.501,0.853,Shake,Head Movement
239,1248.518,1250.115,1.597,TurnL,Head Movement
240,1250.12,1250.632,0.512,TurnR,Head Movement
241,1250.635,1253.598,2.963,FaceForward,Head Movement
242,1253.602,1254.706,1.104,Shake,Head Movement
243,1254.724,1258.669,3.945,FaceForward,Head Movement
244,1258.669,1262.807,4.138,FaceDown,Head Movement
245,1262.807,1265.684,2.877,TurnR,Head Movement
246,1265.697,1266.004,0.307,TurnL,Head Movement
247,1266.028,1267.246,1.218,FaceDown,Head Movement
248,1267.258,1267.787,0.529,FaceForward,Head Movement
249,1267.787,1268.343,0.556,FaceDown,Head Movement
250,1268.343,1269.568,1.225,TurnL,Head Movement
251,1269.568,1270.602,1.034,Shake,Head Movement
252,1270.618,1273.346,2.728,TurnL,Head Movement
253,1273.346,1275.273,1.927,TurnR,Head Movement
254,1275.273,1279.347,4.074,TurnL,Head Movement
255,1279.359,1279.757,0.398,FaceDown,Head Movement
256,1279.757,1280.131,0.374,TurnR,Head Movement
257,1280.131,1280.994,0.863,FaceDown,Head Movement
258,1281.011,1282.0,0.989,TurnR,Head Movement
259,1282.007,1285.768,3.761,TurnL,Head Movement
403,1283.224,1286.313,3.089,ListenL,AuralOral Communication
260,1285.769,1288.004,2.235,Nod,Head Movement
404,1286.313,1286.97,0.657,TalkL,AuralOral Communication
405,1286.973,1288.715,1.742,ListenL,AuralOral Communication
261,1288.025,1289.209,1.184,TurnL,Head Movement
406,1288.719,1293.711,4.992,TalkL,AuralOral Communication
262,1289.225,1289.824,0.599,FaceForward,Head Movement
263,1289.824,1291.625,1.8010000000000002,TurnL,Head Movement
264,1291.764,1292.271,0.507,FaceDown,Head Movement
265,1292.271,1293.75,1.479,TurnL,Head Movement
266,1293.761,1295.544,1.783,Nod,Head Movement
407,1294.896,1301.06,6.164,TalkL,AuralOral Communication
267,1295.572,1298.389,2.817,FaceForward,Head Movement
268,1298.389,1303.073,4.684,TurnL,Head Movement
269,1303.079,1304.401,1.322,TurnR,Head Movement
270,1304.419,1304.874,0.455,FaceForward,Head Movement
271,1304.874,1307.713,2.839,TurnL,Head Movement
408,1305.046,1307.803,2.757,ListenL,AuralOral Communication
272,1307.748,1308.071,0.323,FaceDown,Head Movement
409,1307.82,1354.811,46.991,TalkU,AuralOral Communication
273,1308.071,1308.452,0.381,TurnL,Head Movement
274,1308.467,1310.2,1.733,FaceForward,Head Movement
275,1310.2,1310.732,0.532,TurnR,Head Movement
276,1310.769,1311.389,0.62,FaceForward,Head Movement
277,1311.389,1312.963,1.5739999999999998,TurnL,Head Movement
278,1312.978,1314.727,1.749,TurnR,Head Movement
279,1314.736,1315.347,0.611,FaceForward,Head Movement
280,1315.347,1317.691,2.344,TurnL,Head Movement
281,1317.74,1318.76,1.02,FaceForward,Head Movement
282,1318.76,1321.096,2.336,FaceDown,Head Movement
283,1321.271,1328.889,7.618,TurnL,Head Movement
284,1328.911,1329.263,0.352,TurnR,Head Movement
285,1329.263,1330.892,1.629,Nod,Head Movement
286,1330.903,1333.727,2.824,TurnL,Head Movement
287,1333.732,1334.669,0.937,FaceDown,Head Movement
288,1334.681,1336.786,2.105,TurnR,Head Movement
289,1336.941,1337.912,0.971,FaceForward,Head Movement
290,1337.934,1338.661,0.727,TurnL,Head Movement
291,1338.713,1341.422,2.709,FaceDown,Head Movement
292,1341.424,1346.297,4.873,FaceForward,Head Movement
293,1346.297,1347.838,1.541,TurnR,Head Movement
294,1347.887,1353.953,6.066,FaceForward,Head Movement
295,1353.953,1356.478,2.525,TurnL,Head Movement
410,1354.811,1357.158,2.347,ListenL,AuralOral Communication
296,1356.492,1357.154,0.662,Nod,Head Movement
297,1357.157,1358.448,1.291,TurnR,Head Movement
411,1357.158,1359.705,2.547,ListenR,AuralOral Communication
298,1358.46,1359.924,1.464,Nod,Head Movement
412,1359.705,1360.054,0.349,TalkR,AuralOral Communication
299,1359.924,1361.257,1.333,TurnL,Head Movement
413,1360.054,1361.098,1.044,ListenL,AuralOral Communication
414,1361.098,1364.389,3.291,ListenR,AuralOral Communication
300,1361.266,1363.349,2.083,TurnR,Head Movement
301,1363.367,1364.907,1.54,Nod,Head Movement
415,1364.389,1365.401,1.012,TalkU,AuralOral Communication
302,1364.907,1365.568,0.661,FaceForward,Head Movement
416,1365.408,1367.853,2.445,ListenL,AuralOral Communication
303,1365.589,1366.248,0.659,TurnL,Head Movement
304,1366.305,1366.962,0.657,FaceDown,Head Movement
305,1366.977,1368.591,1.614,TurnR,Head Movement
417,1367.853,1370.41,2.557,ListenR,AuralOral Communication
306,1368.615,1369.732,1.117,Nod,Head Movement
307,1369.745,1376.849,7.104,FaceForward,Head Movement
